"","ID","P.value","Significant","Expression.profile","VEG","MEI","FRG","DEV1","DEV2.3","DEV4"
"186","PTET.51.1.G0010332","1,56E-002","NO","none","53,91368797","33,734342","62,13888893","102,9156713","116,9683312","141,6494712"
"187","PTET.51.1.G0010335","3,63E-002","NO","none","19,41611941","48,43075181","40,80385399","31,94221823","40,33475196","22,98202599"
"188","PTET.51.1.G0010337","2,13E-001","NO","none","3,612380337","3,451235837","7,655746392","14,01502931","17,98533183","11,2747709"
"189","PTET.51.1.G0010338","7,76E-003","NO","none","84,98814127","43,9192269","74,17138089","72,28789268","69,94478005","96,09997384"
"190","PTET.51.1.G0010343","4,55E-001","NO","none","50,42540351","81,8320025","64,26329818","76,41394056","33,2816816","19,60580834"
"191","PTET.51.1.G0010349","2,31E-001","NO","none","267,6534277","173,3899221","272,0172475","316,340922","339,0913379","411,2814385"
"192","PTET.51.1.G0010350","6,48E-002","NO","none","60,03782104","69,67519306","88,51886716","83,71161848","47,03194599","62,26154997"
"193","PTET.51.1.G0010351","3,77E-002","NO","none","4,644489005","5,178319635","15,41008723","24,02180545","15,15981921","53,32071806"
"194","PTET.51.1.G0010353","0,018575714","NO","none","456,7617216","264,9179239","272,2651296","274,7359414","282,516038","244,2314368"
"195","PTET.51.1.G0010354","1,08E-003","NO","none","81,77214995","107,5672316","97,56748506","159,8233195","155,2504606","165,18059"
"196","PTET.51.1.G0010359","0,312564692","NO","none","251,8722492","314,8331778","261,4280597","234,4085957","271,5466971","277,9110111"
"197","PTET.51.1.G0010360","3,14E-004","NO","none","337,164302","186,1072637","193,1592223","221,3275842","225,2029884","191,1245263"
"198","PTET.51.1.G0010363","4,93E-001","NO","none","81,85350111","81,15269469","108,0390018","103,7208256","80,14535255","108,5713253"
"199","PTET.51.1.G0010367","0,088792253","NO","none","43,58238755","77,35905678","77,94030082","78,24757087","58,37636017","53,78931755"
"200","PTET.51.1.G0010368","2,96E-001","NO","none","43,83936901","44,15069868","69,49077525","65,87278514","66,45387955","64,62941019"
"201","PTET.51.1.G0010370","2,03E-001","NO","none","4,186177599","27,68794183","13,23639611","5,340743817","14,43029923","15,02912232"
"202","PTET.51.1.G0010372","1,78E-002","NO","none","46,79205891","39,92881866","39,09741761","37,58446999","69,18708014","68,40175794"
